Universidade,Link_DGES,Nome,Estado da IES,Unidade Organica,Subsistema,Natureza,Tipo de ensino,Link_Website,Morada,Código Postal,Telefone,Email,Distrito
Faculdade de Arquitetura - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/192,Universidade do Porto,Ativa,Faculdade de Arquitetura - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fa.up.pt,"Via Panorâmica, Porto","4150-755, Porto
",+351226057100,webmaster@fba.up.pt,http://www.fa.up.pt
Faculdade de Belas-Artes - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/204,Universidade do Porto,Ativa,Faculdade de Belas-Artes - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fba.up.pt,"Av. Rodrigues de Freitas, 265, Porto","4049-021, Porto
",+351225192400,expediente@fba.up.pt,http://www.fba.up.pt
Faculdade de Ciências - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/193,Universidade do Porto,Ativa,Faculdade de Ciências - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fc.up.pt,"Rua do Campo Alegre, Porto","4169-007, Porto
",+351220402000,expediente@fc.up.pt,http://www.fc.up.pt
Faculdade de Ciências da Nutrição e da Alimentação - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/191,Universidade do Porto,Ativa,Faculdade de Ciências da Nutrição e da Alimentação - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fcna.up.pt,"R. Dr. Roberto Frias, Porto","4200-465, Porto
",+351225074320,webmaster@fcna.up.pt,http://www.fcna.up.pt
Faculdade de Desporto - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/201,Universidade do Porto,Ativa,Faculdade de Desporto - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fade.up.pt,"R. Dr. Plácido da Costa, 91, Porto","4200-450, Porto
",+351225074700,expediente@fade.up.pt,http://www.fade.up.pt
Faculdade de Direito - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/203,Universidade do Porto,Ativa,Faculdade de Direito - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fd.up.pt,"Rua das Bragas, 223, Porto","4050-123, Porto
",+351222041600,webmaster@direito.up.pt,http://www.fd.up.pt
Faculdade de Economia - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/194,Universidade do Porto,Ativa,Faculdade de Economia - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fep.up.pt,"R. Dr. Roberto Frias, Porto","4200-465, Porto
",+351225571100,geral@fep.up.pt,http://www.fep.up.pt
Faculdade de Engenharia - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/195,Universidade do Porto,Ativa,Faculdade de Engenharia - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fe.up.pt,"R. Dr. Roberto Frias, Porto","4200-465, Porto
",+351225081400,feup@fe.up.pt,http://www.fe.up.pt
Faculdade de Farmácia - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/196,Universidade do Porto,Ativa,Faculdade de Farmácia - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.ff.up.pt,"Rua de Jorge Viterbo Ferreira, nº. 228, Porto","4050-313, Porto
",+351220428500,ffup@ff.up.pt,http://www.ff.up.pt
Faculdade de Letras - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/197,Universidade do Porto,Ativa,Faculdade de Letras - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.letras.up.pt,"Via Panorâmica, Porto","4150-564, Porto
",+351226077100,flup@letras.up.pt,http://www.letras.up.pt
Faculdade de Medicina - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/198,Universidade do Porto,Ativa,Faculdade de Medicina - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.med.up.pt,"Alameda Hernâni Monteiro, Porto","4200-319, Porto
",+351225513600,fmup@med.up.pt,http://www.med.up.pt
Faculdade de Medicina Dentária - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/202,Universidade do Porto,Ativa,Faculdade de Medicina Dentária - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fmd.up.pt,"R. Dr. Manuel Pereira da Silva, Porto","4200-393, Porto
",+351220901100,webmaster@fmd.up.pt,http://www.fmd.up.pt
Faculdade de Psicologia e de Ciências da Educação - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/199,Universidade do Porto,Ativa,Faculdade de Psicologia e de Ciências da Educação - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fpce.up.pt,"Rua Alfredo Allen, Porto","4200-135, Porto
",+351226079700,geral@fpce.up.pt,http://www.fpce.up.pt
Instituto de Ciências Biomédicas Abel Salazar - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/200,Universidade do Porto,Ativa,Instituto de Ciências Biomédicas Abel Salazar - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.icbas.up.pt,"Largo Prof. Abel Salazar, 2, Porto","4099-003, Porto
",+351222062200,divulgacao@icbas.up.pt,http://www.icbas.up.pt
Faculdade de Arquitetura - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/192,Universidade do Porto,Ativa,Faculdade de Arquitetura - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fa.up.pt,"Via Panorâmica, Porto","4150-755, Porto
",+351226057100,webmaster@fba.up.pt,http://www.fa.up.pt
Faculdade de Belas-Artes - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/204,Universidade do Porto,Ativa,Faculdade de Belas-Artes - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fba.up.pt,"Av. Rodrigues de Freitas, 265, Porto","4049-021, Porto
",+351225192400,expediente@fba.up.pt,http://www.fba.up.pt
Faculdade de Ciências - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/193,Universidade do Porto,Ativa,Faculdade de Ciências - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fc.up.pt,"Rua do Campo Alegre, Porto","4169-007, Porto
",+351220402000,expediente@fc.up.pt,http://www.fc.up.pt
Faculdade de Ciências da Nutrição e da Alimentação - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/191,Universidade do Porto,Ativa,Faculdade de Ciências da Nutrição e da Alimentação - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fcna.up.pt,"R. Dr. Roberto Frias, Porto","4200-465, Porto
",+351225074320,webmaster@fcna.up.pt,http://www.fcna.up.pt
Faculdade de Desporto - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/201,Universidade do Porto,Ativa,Faculdade de Desporto - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fade.up.pt,"R. Dr. Plácido da Costa, 91, Porto","4200-450, Porto
",+351225074700,expediente@fade.up.pt,http://www.fade.up.pt
Faculdade de Direito - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/203,Universidade do Porto,Ativa,Faculdade de Direito - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fd.up.pt,"Rua das Bragas, 223, Porto","4050-123, Porto
",+351222041600,webmaster@direito.up.pt,http://www.fd.up.pt
Faculdade de Economia - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/194,Universidade do Porto,Ativa,Faculdade de Economia - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fep.up.pt,"R. Dr. Roberto Frias, Porto","4200-465, Porto
",+351225571100,geral@fep.up.pt,http://www.fep.up.pt
Faculdade de Engenharia - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/195,Universidade do Porto,Ativa,Faculdade de Engenharia - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fe.up.pt,"R. Dr. Roberto Frias, Porto","4200-465, Porto
",+351225081400,feup@fe.up.pt,http://www.fe.up.pt
Faculdade de Farmácia - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/196,Universidade do Porto,Ativa,Faculdade de Farmácia - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.ff.up.pt,"Rua de Jorge Viterbo Ferreira, nº. 228, Porto","4050-313, Porto
",+351220428500,ffup@ff.up.pt,http://www.ff.up.pt
Faculdade de Letras - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/197,Universidade do Porto,Ativa,Faculdade de Letras - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.letras.up.pt,"Via Panorâmica, Porto","4150-564, Porto
",+351226077100,flup@letras.up.pt,http://www.letras.up.pt
Faculdade de Medicina - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/198,Universidade do Porto,Ativa,Faculdade de Medicina - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.med.up.pt,"Alameda Hernâni Monteiro, Porto","4200-319, Porto
",+351225513600,fmup@med.up.pt,http://www.med.up.pt
Faculdade de Medicina Dentária - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/202,Universidade do Porto,Ativa,Faculdade de Medicina Dentária - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fmd.up.pt,"R. Dr. Manuel Pereira da Silva, Porto","4200-393, Porto
",+351220901100,webmaster@fmd.up.pt,http://www.fmd.up.pt
Faculdade de Psicologia e de Ciências da Educação - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/199,Universidade do Porto,Ativa,Faculdade de Psicologia e de Ciências da Educação - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.fpce.up.pt,"Rua Alfredo Allen, Porto","4200-135, Porto
",+351226079700,geral@fpce.up.pt,http://www.fpce.up.pt
Instituto de Ciências Biomédicas Abel Salazar - Universidade do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_uo/200,Universidade do Porto,Ativa,Instituto de Ciências Biomédicas Abel Salazar - Universidade do Porto,Público,Sem Natureza,Universitário,http://www.icbas.up.pt,"Largo Prof. Abel Salazar, 2, Porto","4099-003, Porto
",+351222062200,divulgacao@icbas.up.pt,http://www.icbas.up.pt
Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_ies/2,Universidade dos Açores,Ativa,Unidade Principal,Público,Universidade,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650000,,http://www.uac.pt
Escola Superior de Saúde - Angra do Heroísmo - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/148,Universidade dos Açores,Ativa,Escola Superior de Saúde - Angra do Heroísmo - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua Capitão João d'Ávila, Angra do Heroísmo","9700-042, Angra do Heroísmo
",+351295402200,hugo.mc.silva@uac.pt,http://www.uac.pt
Escola Superior de Saúde - Ponta Delgada - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/149,Universidade dos Açores,Ativa,Escola Superior de Saúde - Ponta Delgada - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650451,ess.secretariado@uac.pt,http://www.uac.pt
Escola Superior de Tecnologias e Administração - Angra do Heroísmo - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/150,Universidade dos Açores,Ativa,Escola Superior de Tecnologias e Administração - Angra do Heroísmo - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua Capitão João d'Ávila, Angra do Heroísmo","9700-042, Angra do Heroísmo
",+351296650004,nelia.fr.franco@uac.pt,http://www.uac.pt
Escola Superior de Tecnologias e Administração - Ponta Delgada - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/151,Universidade dos Açores,Ativa,Escola Superior de Tecnologias e Administração - Ponta Delgada - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650004,nelia.fr.franco@uac.pt,http://www.uac.pt
Faculdade de Ciências Agrárias e do Ambiente - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/144,Universidade dos Açores,Ativa,Faculdade de Ciências Agrárias e do Ambiente - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua Capitão João d'Ávila, Angra do Heroísmo","9700-042, Angra do Heroísmo
",+351295402203,fcaa.secretariado@uac.pt,http://www.uac.pt
Faculdade de Ciências Sociais e Humanas - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/145,Universidade dos Açores,Ativa,Faculdade de Ciências Sociais e Humanas - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650127,fcsh.secretariado@uac.pt,http://www.uac.pt
Faculdade de Ciências e Tecnologia - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/146,Universidade dos Açores,Ativa,Faculdade de Ciências e Tecnologia - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650172,fct.secretariado@uac.pt,http://www.uac.pt
Faculdade de Economia e Gestão - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/147,Universidade dos Açores,Ativa,Faculdade de Economia e Gestão - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650084,feg.secretariado@uac.pt,http://www.uac.pt
Escola Superior de Saúde - Angra do Heroísmo - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/148,Universidade dos Açores,Ativa,Escola Superior de Saúde - Angra do Heroísmo - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua Capitão João d'Ávila, Angra do Heroísmo","9700-042, Angra do Heroísmo
",+351295402200,hugo.mc.silva@uac.pt,http://www.uac.pt
Escola Superior de Saúde - Ponta Delgada - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/149,Universidade dos Açores,Ativa,Escola Superior de Saúde - Ponta Delgada - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650451,ess.secretariado@uac.pt,http://www.uac.pt
Escola Superior de Tecnologias e Administração - Angra do Heroísmo - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/150,Universidade dos Açores,Ativa,Escola Superior de Tecnologias e Administração - Angra do Heroísmo - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua Capitão João d'Ávila, Angra do Heroísmo","9700-042, Angra do Heroísmo
",+351296650004,nelia.fr.franco@uac.pt,http://www.uac.pt
Escola Superior de Tecnologias e Administração - Ponta Delgada - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/151,Universidade dos Açores,Ativa,Escola Superior de Tecnologias e Administração - Ponta Delgada - Universidade dos Açores,Público,Sem Natureza,Politécnico,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650004,nelia.fr.franco@uac.pt,http://www.uac.pt
Faculdade de Ciências Agrárias e do Ambiente - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/144,Universidade dos Açores,Ativa,Faculdade de Ciências Agrárias e do Ambiente - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua Capitão João d'Ávila, Angra do Heroísmo","9700-042, Angra do Heroísmo
",+351295402203,fcaa.secretariado@uac.pt,http://www.uac.pt
Faculdade de Ciências Sociais e Humanas - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/145,Universidade dos Açores,Ativa,Faculdade de Ciências Sociais e Humanas - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650127,fcsh.secretariado@uac.pt,http://www.uac.pt
Faculdade de Ciências e Tecnologia - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/146,Universidade dos Açores,Ativa,Faculdade de Ciências e Tecnologia - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650172,fct.secretariado@uac.pt,http://www.uac.pt
Faculdade de Economia e Gestão - Universidade dos Açores,https://www.dges.gov.pt/simges/public/www/detalhes_uo/147,Universidade dos Açores,Ativa,Faculdade de Economia e Gestão - Universidade dos Açores,Público,Sem Natureza,Universitário,http://www.uac.pt,"Rua da Mãe de Deus, Ponta Delgada","9500-321, Ponta Delgada
",+351296650084,feg.secretariado@uac.pt,http://www.uac.pt
Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_ies/8,Universidade Nova de Lisboa,Ativa,Unidade Principal,Público,Universidade,Universitário,http://www.unl.pt,"Campus de Campolide, Lisboa","1099-085, Lisboa
",+351213715600,reitoria@unl.pt,http://www.unl.pt
Escola Nacional de Saúde Pública - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/187,Universidade Nova de Lisboa,Ativa,Escola Nacional de Saúde Pública - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.ensp.unl.pt/ensp,"Avenida Padre Cruz, Lisboa","1600-560, Lisboa
",+351217512100,academicos@ensp.unl.pt,http://www.ensp.unl.pt/ensp
Faculdade de Ciências Médicas - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/181,Universidade Nova de Lisboa,Ativa,Faculdade de Ciências Médicas - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fcm.unl.pt,"Campo dos Mártires da Pátria, 130, Lisboa","1169-056, Lisboa
",+351218803000,geral@fcm.unl.pt,http://www.fcm.unl.pt
Faculdade de Ciências Sociais e Humanas - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/182,Universidade Nova de Lisboa,Ativa,Faculdade de Ciências Sociais e Humanas - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fcsh.unl.pt,"Av. de Berna, 26-C, Lisboa","1069-061, Lisboa
",+351217933519,geral@fcsh.unl.pt,http://www.fcsh.unl.pt
Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/183,Universidade Nova de Lisboa,Ativa,Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fct.unl.pt,"Monte da Caparica, Monte de Caparica","2829-516, Almada
",+351212948300,div.cre.coordenador@fct.unl.pt,http://www.fct.unl.pt
Faculdade de Direito - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/189,Universidade Nova de Lisboa,Ativa,Faculdade de Direito - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fd.unl.pt,"Trav. de Estêvão Pinto, Lisboa","1099-032, Lisboa
",+351213847400,geral@fd.unl.pt,http://www.fd.unl.pt
Faculdade de Economia - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/184,Universidade Nova de Lisboa,Ativa,Faculdade de Economia - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,https://www2.novasbe.unl.pt/pt/,"Campus de Carcavelos, Rua da Holanda, n.º 1, Carcavelos","2775-405, Cascais
",+351213801600,infonova@fe.unl.pt,https://www2.novasbe.unl.pt/pt/
Instituto Superior de Estatística e Gestão de Informação - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/186,Universidade Nova de Lisboa,Ativa,Instituto Superior de Estatística e Gestão de Informação - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.isegi.unl.pt,"Campus de Campolide, Lisboa","1070-312, Lisboa
",+351213870413,info@isegi.unl.pt,http://www.isegi.unl.pt
Instituto de Higiene e Medicina Tropical - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/185,Universidade Nova de Lisboa,Ativa,Instituto de Higiene e Medicina Tropical - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,www.ihmt.unl.pt,"Rua da Junqueira Nº100, Lisboa","1349-008, Lisboa
",+351213652600,informacao@ihmt.unl.pt,www.ihmt.unl.pt
Instituto de Tecnologia Química e Biológica António Xavier - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/188,Universidade Nova de Lisboa,Ativa,Instituto de Tecnologia Química e Biológica António Xavier - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.itqb.unl.pt,"Av. da República, Estação Agronómica Nacional, Oeiras","2780-157, Oeiras
",+351214469100,info@itqb.unl.pt,http://www.itqb.unl.pt
Escola Nacional de Saúde Pública - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/187,Universidade Nova de Lisboa,Ativa,Escola Nacional de Saúde Pública - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.ensp.unl.pt/ensp,"Avenida Padre Cruz, Lisboa","1600-560, Lisboa
",+351217512100,academicos@ensp.unl.pt,http://www.ensp.unl.pt/ensp
Faculdade de Ciências Médicas - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/181,Universidade Nova de Lisboa,Ativa,Faculdade de Ciências Médicas - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fcm.unl.pt,"Campo dos Mártires da Pátria, 130, Lisboa","1169-056, Lisboa
",+351218803000,geral@fcm.unl.pt,http://www.fcm.unl.pt
Faculdade de Ciências Sociais e Humanas - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/182,Universidade Nova de Lisboa,Ativa,Faculdade de Ciências Sociais e Humanas - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fcsh.unl.pt,"Av. de Berna, 26-C, Lisboa","1069-061, Lisboa
",+351217933519,geral@fcsh.unl.pt,http://www.fcsh.unl.pt
Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/183,Universidade Nova de Lisboa,Ativa,Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fct.unl.pt,"Monte da Caparica, Monte de Caparica","2829-516, Almada
",+351212948300,div.cre.coordenador@fct.unl.pt,http://www.fct.unl.pt
Faculdade de Direito - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/189,Universidade Nova de Lisboa,Ativa,Faculdade de Direito - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.fd.unl.pt,"Trav. de Estêvão Pinto, Lisboa","1099-032, Lisboa
",+351213847400,geral@fd.unl.pt,http://www.fd.unl.pt
Faculdade de Economia - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/184,Universidade Nova de Lisboa,Ativa,Faculdade de Economia - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,https://www2.novasbe.unl.pt/pt/,"Campus de Carcavelos, Rua da Holanda, n.º 1, Carcavelos","2775-405, Cascais
",+351213801600,infonova@fe.unl.pt,https://www2.novasbe.unl.pt/pt/
Instituto Superior de Estatística e Gestão de Informação - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/186,Universidade Nova de Lisboa,Ativa,Instituto Superior de Estatística e Gestão de Informação - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.isegi.unl.pt,"Campus de Campolide, Lisboa","1070-312, Lisboa
",+351213870413,info@isegi.unl.pt,http://www.isegi.unl.pt
Instituto de Higiene e Medicina Tropical - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/185,Universidade Nova de Lisboa,Ativa,Instituto de Higiene e Medicina Tropical - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,www.ihmt.unl.pt,"Rua da Junqueira Nº100, Lisboa","1349-008, Lisboa
",+351213652600,informacao@ihmt.unl.pt,www.ihmt.unl.pt
Instituto de Tecnologia Química e Biológica António Xavier - Universidade Nova de Lisboa,https://www.dges.gov.pt/simges/public/www/detalhes_uo/188,Universidade Nova de Lisboa,Ativa,Instituto de Tecnologia Química e Biológica António Xavier - Universidade Nova de Lisboa,Público,Sem Natureza,Universitário,http://www.itqb.unl.pt,"Av. da República, Estação Agronómica Nacional, Oeiras","2780-157, Oeiras
",+351214469100,info@itqb.unl.pt,http://www.itqb.unl.pt
Academia Nacional Superior de Orquestra,https://www.dges.gov.pt/simges/public/www/detalhes_ies/37,Academia Nacional Superior de Orquestra,Ativa,Unidade Principal,Privado,Escola politécnica não integrada,Politécnico,http://www.metropolitana.pt/,"Travessa da Galé, n.º 36 -3º Edifício Standard Elétrica, Lisboa","1349-028, Lisboa
",+351213617320,metropolitana@metropolitana.pt,http://www.metropolitana.pt/
Atlântica - Instituto Universitário,https://www.dges.gov.pt/simges/public/www/detalhes_ies/120,Atlântica - Instituto Universitário,Ativa,Unidade Principal,Privado,Instituto Politécnico,Universitário,http://www.uatlantica.pt,"Antiga Fábrica de Pólvora de Barcarena-Rua dos Paióis, Barcarena","2730-036, Oeiras
",+351214398200,geral@uatlantica.pt,http://www.uatlantica.pt
Escola Superior Artística do Porto,https://www.dges.gov.pt/simges/public/www/detalhes_ies/39,Escola Superior Artística do Porto,Ativa,Unidade Principal,Privado,Escola universitária não integrada,Universitário,http://www.esap.pt,"Largo de S. Domingos, n.º 80, Porto","4050-545, Porto
",+351223392130,geral@esap.pt,http://www.esap.pt
Escola Superior de Artes e Design,https://www.dges.gov.pt/simges/public/www/detalhes_ies/46,Escola Superior de Artes e Design,Ativa,Unidade Principal,Privado,Escola politécnica não integrada,Politécnico,http://www.esad.pt,"Av. Calouste Gulbenkian - Senhora da Hora, Senhora da Hora","4460-268, Matosinhos
",+351229578750,esad@esad.pt,http://www.esad.pt
Escola Superior de Atividades Imobiliárias,https://www.dges.gov.pt/simges/public/www/detalhes_ies/41,Escola Superior de Atividades Imobiliárias,Ativa,Unidade Principal,Privado,Escola politécnica não integrada,Politécnico,http://www.esai.pt,"Praça Eduardo Mondlane, n.º 7 C, Lisboa","1950-104, Lisboa
",+351218367010,esai@esai.pt,http://www.esai.pt
Escola Superior de Educação de Fafe,https://www.dges.gov.pt/simges/public/www/detalhes_ies/48,Escola Superior de Educação de Fafe,Ativa,Unidade Principal,Privado,Escola politécnica não integrada,Politécnico,http://www.iesfafe.pt/,"Rua Universitária, Medelo","4820-549, Fafe
",+351253509000,geral@iesfafe.pt,http://www.iesfafe.pt/
Escola Superior de Educação de João de Deus,https://www.dges.gov.pt/simges/public/www/detalhes_ies/51,Escola Superior de Educação de João de Deus,Ativa,Unidade Principal,Privado,Escola politécnica não integrada,Politécnico,http://www.joaodedeus.pt/,"Rua Álvares Cabral, 69, Lisboa","1269-094, Lisboa
",+351213968154,ese@escolasjoaodeus.pt,http://www.joaodedeus.pt/
Escola Superior de Educação de Paula Frassinetti,https://www.dges.gov.pt/simges/public/www/detalhes_ies/52,Escola Superior de Educação de Paula Frassinetti,Ativa,Unidade Principal,Privado,Escola politécnica não integrada,Politécnico,http://www.esepf.pt/,"Rua Gil Vicente, 138/142, Porto","4000-255, Porto
",+351225573420,secretaria@esepf.pt,http://www.esepf.pt/
